101.rle,101
104p177.rle,104P177
104p177reactions.rle,104P177 reactions
104p177_synth.rle,104P177_synth
104p25.rle,104P25
105p25.rle,105P25
10cellinfinitegrowth.rle,10-cell infinite growth
10enginecordership.rle,10-engine Cordership
112p51.rle,112P51
112p51extended.rle,112P51 extended
112p51_synth.rle,112P51_synth
114p6h1v0.rle,114P6H1V0
114p6h1v0pushalong.rle,114P6H1V0 pushalong
114p6h1v0pushalong2.rle,114P6H1V0 pushalongs
117p18.rle,117P18
117p9h3v0.rle,117P9H3V0
119p4h1v0.rle,119P4H1V0
123.rle,1-2-3
1234.rle,1-2-3-4
1234_synth.rle,1-2-3-4_synth
123p271.rle,123P27.1
124p21.rle,124P21
124p37.rle,124P37
126p3h1v0.rle,126P3H1V0
128p13.1.rle,128P13.1
132p37.rle,132P37
134p25.rle,134P25
134p39.1.rle,134P39.1
13enginecordership.rle,13-engine Cordership
144p24.rle,144P24
145p20.rle,145P20
151p3h1v0.rle,151P3H1V0
160p10h2v0.rle,160P10H2V0
168p22.1.rle,168P22.1
17c45reaction.rle,17c/45_Reaction
17columnheavyweightvolcano.rle,17c/45_Reaction
186p24.rle,186P24
18p2.471.rle,18P2.471
1beacon.rle,1 beacon
1beacon_synth.rle,1 beacon_synth
20p2.rle,20P2
21p2.rle,21P2
21p2_synth.rle,21P2_synth
22p2.rle,22P2
22p36.rle,22P36
22p36_synth.rle,22P36_synth
23334m.rle,23334M
233p3h1v0.rle,233P3H1V0
23p2.rle,23P2
23p2_synth.rle,23P2_synth
24cellquadraticgrowth.rle,24-cell quadratic growth
24p10.rle,24P10
24p2.rle,24P2
258p3.rle,24P2
258p3onachimsp11.rle,158P3 on Achim's p11
25cellquadraticgrowth.rle,25-cell quadratic growth
25p3h1v0.1.rle,25P3H1V0.1
25p3h1v0.2.rle,25P3H1V0.2
25p3h1v0.2_synth.rle,25p3h1v0.2_synth.rle
26cellquadraticgrowth.rle,26-cell quadratic growth
26p2.rle,26P2
26p40.rle,26P40
274p6h1v0.rle,274P6H1V0
28p7.2.rle,28P7.2
28p7.2_synth.rle,28P7.2_synth
28p71.rle,28P7.1
295p5h1v1.rle,295P5H1V1
29p9.rle,29P9
2c5ladders.rle,2c/5 ladders
2fumaroles.rle,2 fumaroles
2x12infinitegrowth.rle,2x12 infinite growth
2x210cellstilllifes.rle,2x2 10-cell still lifes
2x22cellstilllifes.rle,2x2 2-cell still lifes
2x23cellstilllifes.rle,2x2 3-cell still lifes
2x24cellstilllifes.rle,2x2 4-cell still lifes
2x25cellstilllifes.rle,2x2 5-cell still lifes
2x26cellstilllifes.rle,2x2 6-cell still lifes
2x27cellstilllifes.rle,2x2 7-cell still lifes
2x28cellstilllifes.rle,2x2 8-cell still lifes
2x29cellstilllifes.rle,2x2 9-cell still lifes
2x2blockoscillators.rle,2x2 block oscillators
2x2glider.rle,2x2 glider
2x2linepuffer.rle,2x2 line puffer
2x2oscillators.rle,2x2 oscillators
2x2period2oscillators.rle,2x2 period 2 oscillators
2x2stills.rle,2x2 still lifes
30p5h2v0.rle,30P5H2V0
30p5h2v0_synth.rle,30P5H2V0 Synthesis
34p13.rle,34P13
34p64.rle,34P64
35p52.rle,35P52
35p52_synth.rle,35P52_synth
36p22.rle,36P22
36p22_synth.rle,36P22_synth
37p10.1.rle,37P10.1
37p10.2.rle,37P10.2
37p7.1.rle,37P7.1
38p111.rle,38P11.1
38p24.rle,38P24
38p7.2.rle,38P7.2
38p7.3.rle,38P7.3
3enginecordership.rle,3-engine Cordership
3enginecordershipeater.rle,3-engine Cordership eater
3enginecordershipgun.rle,3-engine Cordership gun
3enginecordershiplwssreflection.rle,3-engine Cordership LWSS reflection
3enginecordershiprake.rle,3-engine Cordership rake
3enginecordership_synth.rle,3-engine Cordership_synth
400p49.rle,400P49
41p7.2.rle,41P7.2
42p101.rle,42P10.1
43p18.rle,43P18
43p18_synth.rle,43P18_synth
440p49.1.rle,440P49.1
44p5h2v0.rle,44P5H2V0
44p7.2.rle,44P7.2
45hivenudgers.rle,45 hivenudgers
46p22.rle,46P22
46p4h1v0.rle,46P4H1V0
47p72.rle,47P72
47p72_synth.rle,47P72_synth
4812diamond.rle,4-8-12_diamond
48p20.rle,48P20
48p22.rle,48P22
48p31.rle,48P31
49p88.rle,49P88
49p88_synth.rle,49P88_synth
4boats.rle,4 boats
4boats_synth.rle,Four boats_synth
4c13ladders.rle,4c/13 ladders
4c9ladders.rle,4c/9 ladders
4enginecordership.rle,4-engine Cordership
4enginecordershipb.rle,4-engine Cordership v2
50p35.rle,50P35
54p171.rle,54P17.1
56p18.rle,56P18
56p27.rle,56P27
56p6h1v0.rle,56P6H1V0
58p5h1v1.rle,58P5H1V1
5enginecordership.rle,5-engine Cordership
5x5infinitegrowth.rle,5x5 infinite growth
600p6h1v0.rle,600P6H1V0
60p13.1.rle,60P13.1
60p33.rle,60P33
60p3h1v0.3.rle,60P3H1V0.3
60p3h1v0.3reactions.rle,60P3H1V0.3 reactions
60p5h2v0.rle,60P5H2V0
60p5h2v0eater.rle,60P5H2V0 eater
60p5h2v0_synth.rle,60P5H2V0_synth
64p13.1.rle,64P13.1
64p13.2.rle,64P13.2
64p2h1v0.rle,64P2H1V0
65p131.rle,65P13.1
67p5h1v1.rle,67P5H1V1
68p321.rle,67P5H1V1
69p48.rle,69P48
6enginecordership.rle,6-engine Cordership
6enginecordershipgun.rle,6-engine Cordership gun
6enginecordershipv2.rle,6-engine Cordership v2
6enginecordership_synth.rle,6-engine Cordership_synth
70p5h2v0.rle,70P5H2V0
71p171.rle,71P17.1
7242x1quadraticgrowth.rle,71P17.1
7468m.rle,7468M
77p6h1v1.rle,77P6H1V1
78p70.rle,78P70
7enginecordership.rle,7-engine Cordership
7enginecordershipreflections.rle,7-engine Cordership reflections
7inarowcordership.rle,7-in-a-row Cordership
7inarowcordershipeater.rle,7-in-a-row Cordership eater
7inarowcordership_synth.rle,7-in-a-row Cordership_synth
86p5h1v1.rle,86P5H1V1
86p9h3v0.rle,86P9H3V0
88p28.rle,88P28
92p331.rle,92P33.1
94p271.rle,94P27.1
98p25.rle,98P25
98p25_synth.rle,98P25_synth
achimsp11.rle,Achim's p11
achimsp144.rle,Achim's p144
achimsp144_synth.rle,Achim's p144_synth
achimsp16.rle,Achim's p16
achimsp16_synth.rle,Achim's p16_synth
achimsp4.rle,Achim's p4
achimsp4_synth.rle,Achim's p4_synth
achimsp8.rle,Achim's p8
acorn.rle,Acorn
acorn_synth.rle,Acorn_synth
aforall.rle,A for all
aforall_synth.rle,A for all_synth
aircraftcarrier.rle,Aircraft carrier
aircraftcarrier_synth.rle,Aircraft carrier_synth
airforce.rle,Airforce
ak47reaction.rle,AK47 reaction
ak94.rle,AK-94
ak94_synth.rle,AK-94 synthesis
almostknightship.rle,Almost knightship
almosymmetric.rle,Almosymmetric
alternateeater5.rle,Alternate eater 5
alternatepentadecathlononsnacker.rle,Alternate_PD_on_snacker
alternatepiorbital.rle,Alternate pi orbital
alternatewickstretcher1.rle,Alternate wickstretcher 1
ants.rle,Ants
anvil.rle,Anvil
apps.rle,Asymmetric pre-pulsar spaceship
average.rle,aVerage
b29.rle,B29
B29withgliders.rle,B29withgliders.rle
b29_synth.rle,B29_synth.rle
b3578s238replicator.rle,B3578/S238 replicator
b52bomber.rle,B-52 bomber
babblingbrook1.rle,Babbling brook 1
backrake1.rle,Backrake 1
backrake2.rle,Backrake 2
backrake3.rle,Backrake 3
backwardspacerake.rle,Backward space rake
baker.rle,Baker
bakersdozen.rle,Baker's dozen
bakersdozen_synth.rle,Baker's dozen_synth
bakery.rle,Bakery
bakery_synth.rle,Bakery_synth
barge.rle,Barge
barge2extended.rle,Barge 2 (extended)
barge2spaceship.rle,Barge 2 (spaceship)
bargeextended.rle,Barge (extended)
bargespaceship.rle,Barge (spaceship)
barge_synth.rle,Barge_synth
beacon.rle,Beacon
beaconandlonghook_synth.rle,beacon and long hook_synth
beaconandtwotails.rle,Beacon and two tails
beaconandtwotails_synth.rle,Beacon and two tails_synth
beaconmaker.rle,Beacon maker
beaconon38p11.1.rle,Beacon on 38P11.1
beacon_synth.rle,Beacon_synth
beehat.rle,Bee hat
beehat_synth.rle,Bee hat_synth
beehive.rle,Beehive
beehiveandcap.rle,Beehive and cap
beehiveanddock.rle,Beehive and dock
beehiveandlonghookeatingtub.rle,Beehive and long hook eating tub
beehiveandlonghookeatingtub_synth.rle,Beehive and long hook eating tub_synth
beehiveandtable.rle,Beehive and table
beehiveandtable_synth.rle,beehive and table_synth
beehiveatbeehive.rle,Beehive at beehive
beehiveatbeehive_synth.rle,Beehive at beehive_synth
beehiveatloaf.rle,Beehive at loaf
beehiveatloaf_synth.rle,Beehive at loaf_synth
beehivebendtail.rle,Beehive bend tail
beehivebendtail_synth.rle,Beehive bend tail_synth
beehivefuse.rle,Beehive fuse
beehivewithnine.rle,Beehive with nine
beehivewithnine_synth.rle,Beehive with nine_synth
beehivewithtail.rle,Beehive with tail
beehivewithtail_synth.rle,Beehive with tail_synth
beehive_synth.rle,Beehive_synth
bentkeys.rle,Bent keys
bentkeys_synth.rle,Bent keys_synth
bheptomino.rle,B-heptomino
bheptomino_synth.rle,B-heptomino_synth
biblock.rle,Bi-block
biblock_synth.rle,Bi-block_synth
bicap.rle,Bi-cap
bicap_synth.rle,Bi-cap_synth
biclock.rle,Bi-clock
bigglider.rle,Big glider
bigs.rle,Big S
bigs_synth.rle,Big S_synth
bigun.rle,Bi-gun
bigun_synth.rle,Bi-gun_synth
biloaf1.rle,Bi-loaf 1
biloaf1_synth.rle,Bi-loaf 1_synth
biloaf2.rle,Bi-loaf 2
biloaf2_synth.rle,Bi-loaf 2_synth
biloaf3.rle,Bi-loaf 3
biloaf4.rle,Bi-loaf 4
bipole.rle,Bipole
bipolebridgepseudobarberpole.rle,Bipole bridge pseudo-barberpole
bipolebridgepseudobarberpole_synth.rle,Bipole bridge pseudo-barberpole_synth
bipole_synth.rle,Bipole_synth
bipond.rle,Bi-pond
bipond_synth.rle,Bi-pond_synth
bistableswitch.rle,Bistable switch
bitingoffmorethantheycanchew.rle,Biting off more than they can chew
bitingoffmorethantheycanchewextended.rle,Biting off more than they can chew extended
bitingoffmorethantheycanchew_synth.rle,Biting off more than they can chew_synth
blinker.rle,Blinker
blinkerfuse.rle,Blinker fuse
blinkerfuse2.rle,Blinker fuse 2
blinkerfuse3.rle,Blinker fuse 3
blinkerfuse6c13.rle,Blinker fuse (6c/13)
blinkerfuse_synth.rle,Blinker fuse_synth
blinkerpuffer1.rle,Blinker puffer 1
blinkerpuffer1_synth.rle,Blinker puffer 1_synth
blinkerpuffer2.rle,Blinker puffer 2
blinkersbitpole.rle,Blinkers bit pole
blinkership1.rle,Blinker ship 1
blinker_synth.rle,Blinker_synth
block.rle,Block
blockade.rle,Blockade
blockade_synth.rle,Blockade_synth
blockandcap.rle,Block and cap
blockandcap_synth.rle,Block and cap_synth
blockanddock.rle,Block and dock
blockanddock_synth.rle,Block and dock_synth
blockandglider.rle,Block and glider
blockandtwotails.rle,Block and two tails
blockandtwotails_synth.rle,Block and two tails_synth
blockedp41.rle,Blocked p4-1
